date,party,score_vader,month
2017-09-06,D,0.230537303786,9
2017-09-06,R,0.246211907655,9
2017-09-07,D,0.168382324688,9
2017-09-07,R,0.239116848485,9
2017-09-08,D,0.224180531915,9
2017-09-08,R,0.206657142857,9
2017-09-09,D,0.280063128492,9
2017-09-09,R,0.211264599483,9
2017-09-10,D,0.255562745098,9
2017-09-10,R,0.189736085627,9
2017-09-11,D,0.215745143488,9
2017-09-11,R,0.127191794311,9
2017-09-12,D,0.240840438871,9
2017-09-12,R,0.263764810127,9
2017-09-13,D,0.246876465927,9
2017-09-13,R,0.230616528926,9
2017-09-14,D,0.216390566038,9
2017-09-14,R,0.262338076416,9
2017-09-15,D,0.241021420765,9
2017-09-15,R,0.283141591592,9
2017-09-16,D,0.29124587156,9
2017-09-16,R,0.313156497175,9
2017-09-17,D,0.297861883408,9
2017-09-17,R,0.356436612022,9
2017-09-18,D,0.192520792079,9
2017-09-18,R,0.388658795563,9
2017-09-19,D,0.151002272727,9
2017-09-19,R,0.307405095541,9
2017-09-20,D,0.18608805093,9
2017-09-20,R,0.3423,9
2017-09-21,D,0.220333566434,9
2017-09-21,R,0.403212692967,9
2017-09-22,D,0.117169555035,9
2017-09-22,R,0.355810956175,9
2017-09-23,D,0.195310652921,9
2017-09-23,R,0.407025136612,9
2017-09-24,D,0.169600303951,9
2017-09-24,R,0.29524109589,9
2017-09-25,D,0.12961684322,9
2017-09-25,R,0.278094285714,9
2017-09-26,D,0.248071551724,9
2017-09-26,R,0.383128301887,9
2017-09-27,D,0.191298649662,9
2017-09-27,R,0.295771728272,9
2017-09-28,D,0.247229368335,9
2017-09-28,R,0.392235918744,9
2017-09-29,D,0.25026,9
2017-09-29,R,0.317619776715,9
2017-09-30,D,0.190109027778,9
2017-09-30,R,0.354714227642,9
2017-10-01,D,0.172703370787,10
2017-10-01,R,0.335773548387,10
2017-10-02,D,-0.116196137339,10
2017-10-02,R,-0.032176119403,10
2017-10-03,D,0.0438029745042,10
2017-10-03,R,0.267867709497,10
2017-10-04,D,0.0910402735562,10
