,date,party,polarity
0,2017-06-26,D,0.08945749507075984
1,2017-06-26,R,0.18469213023192782
2,2017-06-27,D,0.10264117778035849
3,2017-06-27,R,0.16653777621468294
4,2017-06-28,D,0.107736766569443
5,2017-06-28,R,0.17539658198658156
6,2017-06-29,D,0.10747611179461727
7,2017-06-29,R,0.16912885855841014
8,2017-06-30,D,0.13855406613680987
9,2017-06-30,R,0.19507689376163845
10,2017-07-01,D,0.12869836183418823
11,2017-07-01,R,0.20805269532055246
12,2017-07-02,D,0.09934075635168683
13,2017-07-02,R,0.25363410323853364
14,2017-07-03,D,0.14004547408046933
15,2017-07-03,R,0.18296361459307883
16,2017-07-04,D,0.3940351779261842
17,2017-07-04,R,0.5014327716664833
18,2017-07-05,D,0.13999781876056794
19,2017-07-05,R,0.1832936745272271
20,2017-07-06,D,0.14092322531483528
21,2017-07-06,R,0.218549241272779
22,2017-07-07,D,0.13153155340154016
23,2017-07-07,R,0.1713297666499259
24,2017-07-08,D,0.15931963484046818
25,2017-07-08,R,0.1460626519267458
26,2017-07-09,D,0.14836015601640604
27,2017-07-09,R,0.1827586149101636
28,2017-07-10,D,0.1163648636086985
29,2017-07-10,R,0.21346987987984117
30,2017-07-11,D,0.09791750797943868
31,2017-07-11,R,0.16284144293222275
32,2017-07-12,D,0.116127804257784
33,2017-07-12,R,0.15756062519440195
34,2017-07-13,D,0.10521402702227178
35,2017-07-13,R,0.17827941863427885
36,2017-07-14,D,0.12206630294792621
37,2017-07-14,R,0.1561321734624686
38,2017-07-15,D,0.13615488214198537
39,2017-07-15,R,0.24802691195397694
40,2017-07-16,D,0.12616734747298752
41,2017-07-16,R,0.1839894694258856
42,2017-07-17,D,0.11417442246352859
43,2017-07-17,R,0.17522051795569837
44,2017-07-18,D,0.08365796457462342
45,2017-07-18,R,0.20045330347832907
46,2017-07-19,D,0.11373304230156127
47,2017-07-19,R,0.16731079793028317
48,2017-07-20,D,0.12128926993835237
49,2017-07-20,R,0.15281325772084048
50,2017-07-21,D,0.148482488996961
51,2017-07-21,R,0.202400951564806
52,2017-07-22,D,0.153009415855075
53,2017-07-22,R,0.2478517963773489
54,2017-07-23,D,0.12825406754305835
55,2017-07-23,R,0.17550600209064773
56,2017-07-24,D,0.11703452219736431
57,2017-07-24,R,0.1752856695117333
58,2017-07-25,D,0.06918355876211257
59,2017-07-25,R,0.16154139987969224
60,2017-07-26,D,0.08356118476928745
61,2017-07-26,R,0.23876353238820544
62,2017-07-27,D,0.1036344764377388
63,2017-07-27,R,0.1779367279142362
64,2017-07-28,D,0.07036454615043738
65,2017-07-28,R,0.1400580525139349
66,2017-07-29,D,0.16707318337526678
67,2017-07-29,R,0.2267581019648689
68,2017-07-30,D,0.1485209038928551
69,2017-07-30,R,0.15737911065542645
70,2017-07-31,D,0.10602058032196
71,2017-07-31,R,0.1899999016978452
72,2017-08-01,D,0.1788035346981266
73,2017-08-01,R,0.16969615682197906
74,2017-08-02,D,0.14198820718874397
75,2017-08-02,R,0.19938335017593709
76,2017-08-03,D,0.15252868112433704
77,2017-08-03,R,0.21031929583175857
78,2017-08-04,D,0.2550865187270682
79,2017-08-04,R,0.2560290182977578
80,2017-08-05,D,0.1704967160641502
81,2017-08-05,R,0.2400042489950469
82,2017-08-06,D,0.1928406980135704
83,2017-08-06,R,0.15458778583778587
84,2017-08-07,D,0.1651851846059457
85,2017-08-07,R,0.21421858840522223
86,2017-08-08,D,0.15976084855310338
87,2017-08-08,R,0.20689587152435865
88,2017-08-09,D,0.1526771236928717
89,2017-08-09,R,0.22408315485070932
90,2017-08-10,D,0.1434079077120188
91,2017-08-10,R,0.20758127707066104
92,2017-08-11,D,0.1663903411221325
93,2017-08-11,R,0.20279356427222273
94,2017-08-12,D,-0.03886380136308521
95,2017-08-12,R,-0.008080834247600923
96,2017-08-13,D,-0.007891313353741098
97,2017-08-13,R,0.0006589535617971654
98,2017-08-14,D,0.10070435155681441
99,2017-08-14,R,0.14366364410855936
100,2017-08-15,D,0.07338585059905896
101,2017-08-15,R,0.170506006237914
102,2017-08-16,D,0.09016279751562956
103,2017-08-16,R,0.1770214450548621
104,2017-08-17,D,0.06575986372955386
105,2017-08-17,R,0.08537719472264123
106,2017-08-18,D,0.1036441070043302
107,2017-08-18,R,0.1744981663152461
108,2017-08-19,D,0.10869087408401114
109,2017-08-19,R,0.2112560994338103
110,2017-08-20,D,0.18379653951576067
111,2017-08-20,R,0.19741695299037532
112,2017-08-21,D,0.13164938518399258
113,2017-08-21,R,0.2163559794045528
114,2017-08-22,D,0.13299817646312517
115,2017-08-22,R,0.20889918126114904
116,2017-08-23,D,0.12772852391454093
117,2017-08-23,R,0.18907536859792248
118,2017-08-24,D,0.1329250717300523
119,2017-08-24,R,0.21273545986013598
120,2017-08-25,D,0.18102239707611437
121,2017-08-25,R,0.19332614786191188
122,2017-08-26,D,0.07333798482662127
123,2017-08-26,R,0.1620707435683474
124,2017-08-27,D,0.12154671717171718
125,2017-08-27,R,0.1093455848980927
126,2017-08-28,D,0.1394388076061844
127,2017-08-28,R,0.15650651621626852
128,2017-08-29,D,0.1525891761352163
129,2017-08-29,R,0.17361457622995063
130,2017-08-30,D,0.14798585689068453
131,2017-08-30,R,0.15826611202906327
132,2017-08-31,D,0.12592326059569048
133,2017-08-31,R,0.17047178176772465
134,2017-09-01,D,0.1424163519856238
135,2017-09-01,R,0.18344629834007306
136,2017-09-02,D,0.14705318619872199
137,2017-09-02,R,0.16386025781727256
138,2017-09-03,D,0.09982151192014935
