date,party,score_pattern,month
2017-09-05,R,0.143505576737,9
2017-09-06,D,0.119774538047,9
2017-09-06,R,0.147140702905,9
2017-09-07,D,0.130133260756,9
2017-09-07,R,0.162505995055,9
2017-09-08,D,0.141458349697,9
2017-09-08,R,0.13565081382,9
2017-09-09,D,0.178096831978,9
2017-09-09,R,0.149886696111,9
2017-09-10,D,0.202711492166,9
2017-09-10,R,0.110887778752,9
2017-09-11,D,0.132597096765,9
2017-09-11,R,0.102011316481,9
2017-09-12,D,0.14459978448,9
2017-09-12,R,0.175295316855,9
2017-09-13,D,0.141509258427,9
2017-09-13,R,0.158351491204,9
2017-09-14,D,0.130995634079,9
2017-09-14,R,0.156473325188,9
2017-09-15,D,0.135269001812,9
2017-09-15,R,0.166778831411,9
2017-09-16,D,0.17704073721,9
2017-09-16,R,0.196981656252,9
2017-09-17,D,0.142678284284,9
2017-09-17,R,0.2321289101,9
2017-09-18,D,0.140231690437,9
2017-09-18,R,0.279239307952,9
2017-09-19,D,0.095227407423,9
2017-09-19,R,0.171323609158,9
2017-09-20,D,0.0921651477065,9
2017-09-20,R,0.190784852849,9
2017-09-21,D,0.115364478212,9
2017-09-21,R,0.227545619915,9
2017-09-22,D,0.118902162703,9
2017-09-22,R,0.203900442302,9
2017-09-23,D,0.147356928829,9
2017-09-23,R,0.227681750664,9
2017-09-24,D,0.116754917097,9
2017-09-24,R,0.166408211271,9
2017-09-25,D,0.104327690845,9
2017-09-25,R,0.156110452246,9
2017-09-26,D,0.122178666864,9
2017-09-26,R,0.0713311007651,9
2017-09-27,D,0.144085033028,9
2017-09-27,R,0.182093099601,9
2017-09-28,D,0.134202832149,9
2017-09-28,R,0.20196332143,9
2017-09-29,D,0.153716162224,9
2017-09-29,R,0.2238714181,9
2017-09-30,D,0.118621314417,9
2017-09-30,R,0.190451501165,9
2017-10-01,D,0.110263755353,10
2017-10-01,R,0.194842757046,10
2017-10-02,D,0.0356195426186,10
2017-10-02,R,-0.0156670386842,10
2017-10-03,D,0.101540943961,10
2017-10-03,R,0.145538887243,10
2017-10-04,D,0.104883941317,10
2017-10-04,R,0.175319363495,10
2017-10-05,D,0.109677712324,10
2017-10-05,R,0.164579827057,10
2017-10-06,D,0.0960799961376,10
2017-10-06,R,0.189199589411,10
2017-10-07,D,0.156599607555,10
2017-10-07,R,0.134549798196,10
2017-10-08,D,0.153800567681,10
2017-10-08,R,0.1227214198,10
2017-10-09,D,0.0678362647368,10
2017-10-09,R,0.177324725608,10
2017-10-10,D,0.103804219625,10
2017-10-10,R,0.178623337671,10
2017-10-11,D,0.114579804764,10
2017-10-11,R,0.176250839737,10
2017-10-12,D,0.0949449637537,10
2017-10-12,R,0.179275829251,10
2017-10-13,D,0.0844799636456,10
2017-10-13,R,0.274425154706,10
2017-10-14,D,0.145473058867,10
2017-10-14,R,0.164884694355,10
2017-10-15,D,0.0941914545549,10
2017-10-15,R,0.139743020918,10
2017-10-16,D,0.114764062191,10
2017-10-16,R,0.226544744318,10
