,date,party,polarity
0,2017-06-26,D,0.08963860088477707
1,2017-06-26,R,0.18469213023192782
2,2017-06-27,D,0.10285489963273581
3,2017-06-27,R,0.16653777621468294
4,2017-06-28,D,0.10802059944864374
5,2017-06-28,R,0.17514339480678884
6,2017-06-29,D,0.10837187726692998
7,2017-06-29,R,0.16918897054786997
8,2017-06-30,D,0.13859408900702144
9,2017-06-30,R,0.19429888546288326
10,2017-07-01,D,0.1285423069028524
11,2017-07-01,R,0.20805269532055246
12,2017-07-02,D,0.10023761733823391
13,2017-07-02,R,0.24603916652967286
14,2017-07-03,D,0.14010789605300367
15,2017-07-03,R,0.18296361459307883
16,2017-07-04,D,0.3945771833462384
17,2017-07-04,R,0.5019993439044436
18,2017-07-05,D,0.14064965925136547
19,2017-07-05,R,0.1832936745272271
20,2017-07-06,D,0.14038945747575224
21,2017-07-06,R,0.21798929397370123
22,2017-07-07,D,0.131559405451451
23,2017-07-07,R,0.17091198590126283
24,2017-07-08,D,0.15931963484046818
25,2017-07-08,R,0.1460626519267458
26,2017-07-09,D,0.14836015601640604
27,2017-07-09,R,0.1827586149101636
28,2017-07-10,D,0.1163648636086985
29,2017-07-10,R,0.21329173261143264
30,2017-07-11,D,0.09839565005594143
31,2017-07-11,R,0.1629139552035302
32,2017-07-12,D,0.11607965325624318
33,2017-07-12,R,0.1574894147891032
34,2017-07-13,D,0.10563313211858974
35,2017-07-13,R,0.17827941863427885
36,2017-07-14,D,0.12220393025318359
37,2017-07-14,R,0.155664580869876
38,2017-07-15,D,0.13568774834151823
39,2017-07-15,R,0.24802691195397694
40,2017-07-16,D,0.12876643283884118
41,2017-07-16,R,0.1839894694258856
42,2017-07-17,D,0.11417442246352859
43,2017-07-17,R,0.17507993688728227
44,2017-07-18,D,0.08375290949207588
45,2017-07-18,R,0.20037940625231726
46,2017-07-19,D,0.11395072040182512
47,2017-07-19,R,0.16699753929349515
48,2017-07-20,D,0.12115907711893936
49,2017-07-20,R,0.15281325772084048
50,2017-07-21,D,0.14871573751265224
51,2017-07-21,R,0.20238510872576923
52,2017-07-22,D,0.153009415855075
53,2017-07-22,R,0.2478517963773489
54,2017-07-23,D,0.12825406754305835
55,2017-07-23,R,0.17550600209064773
56,2017-07-24,D,0.11708203264966383
57,2017-07-24,R,0.1752856695117333
58,2017-07-25,D,0.06938619206203653
59,2017-07-25,R,0.16165104900249924
60,2017-07-26,D,0.08391225077994752
61,2017-07-26,R,0.239357991375989
62,2017-07-27,D,0.10383383847920614
63,2017-07-27,R,0.17820935604945973
64,2017-07-28,D,0.07039602763191885
65,2017-07-28,R,0.13972191806015336
66,2017-07-29,D,0.16701976457184797
67,2017-07-29,R,0.2267581019648689
68,2017-07-30,D,0.1485209038928551
69,2017-07-30,R,0.15737911065542645
70,2017-07-31,D,0.10602058032196
71,2017-07-31,R,0.1903241597020518
72,2017-08-01,D,0.1788035346981266
73,2017-08-01,R,0.16969615682197906
74,2017-08-02,D,0.14300047712739428
75,2017-08-02,R,0.19938335017593709
76,2017-08-03,D,0.15275104452967375
77,2017-08-03,R,0.20987286726032997
78,2017-08-04,D,0.2550865187270682
79,2017-08-04,R,0.25667809702472594
80,2017-08-05,D,0.1704967160641502
81,2017-08-05,R,0.23871789552748543
82,2017-08-06,D,0.1928406980135704
83,2017-08-06,R,0.15458778583778587
84,2017-08-07,D,0.16519080438757705
85,2017-08-07,R,0.21365171878523487
86,2017-08-08,D,0.15968655434805137
87,2017-08-08,R,0.20689587152435865
88,2017-08-09,D,0.15346452526767485
89,2017-08-09,R,0.2248095471025253
90,2017-08-10,D,0.14431057647183043
91,2017-08-10,R,0.2080198735618891
92,2017-08-11,D,0.1663903411221325
93,2017-08-11,R,0.2021727217001606
94,2017-08-12,D,-0.037664098982132826
95,2017-08-12,R,-0.01045237574957721
96,2017-08-13,D,-0.006783413546419326
97,2017-08-13,R,0.0006589535617971654
98,2017-08-14,D,0.10068498972286151
99,2017-08-14,R,0.14315516953228818
100,2017-08-15,D,0.0737873007891289
101,2017-08-15,R,0.172867679652219
102,2017-08-16,D,0.09051866940175055
103,2017-08-16,R,0.1770214450548621
104,2017-08-17,D,0.06569969525783304
105,2017-08-17,R,0.08618916733846675
106,2017-08-18,D,0.10275585171317987
107,2017-08-18,R,0.1743305417941733
108,2017-08-19,D,0.10818176368744091
109,2017-08-19,R,0.2112560994338103
110,2017-08-20,D,0.18379653951576067
111,2017-08-20,R,0.19741695299037532
112,2017-08-21,D,0.13164938518399258
113,2017-08-21,R,0.2163559794045528
114,2017-08-22,D,0.13363838132868217
115,2017-08-22,R,0.20904865809224027
116,2017-08-23,D,0.1281092345744394
117,2017-08-23,R,0.1895242016320338
118,2017-08-24,D,0.1335868329651826
119,2017-08-24,R,0.21358833228036592
120,2017-08-25,D,0.18069559969049342
121,2017-08-25,R,0.19332614786191188
122,2017-08-26,D,0.0740434521987553
123,2017-08-26,R,0.16252698328177562
124,2017-08-27,D,0.12396919779187222
125,2017-08-27,R,0.1093455848980927
126,2017-08-28,D,0.13975698942436623
127,2017-08-28,R,0.15629542699589136
128,2017-08-29,D,0.15250965959577611
129,2017-08-29,R,0.17361457622995063
130,2017-08-30,D,0.14703798959210634
131,2017-08-30,R,0.16020647150618741
132,2017-08-31,D,0.12616373414360021
133,2017-08-31,R,0.17063750146469434
134,2017-09-01,D,0.14263097602351604
135,2017-09-01,R,0.18461354142307698
136,2017-09-02,D,0.1473865195320553
137,2017-09-02,R,0.16386025781727256
138,2017-09-03,D,0.09982151192014935
139,2017-09-03,R,0.14013555556668977
140,2017-09-04,D,0.1489150594224062
141,2017-09-04,R,0.2658976790667318
142,2017-09-05,D,0.04249325489031709
143,2017-09-05,R,0.14115465930603546
144,2017-09-06,D,0.11876037984492499
145,2017-09-06,R,0.14732043154013064
146,2017-09-07,D,0.1280563315211489
147,2017-09-07,R,0.16610861213468534
148,2017-09-08,D,0.14233923299784335
149,2017-09-08,R,0.13488166935695636
150,2017-09-09,D,0.17665110727261557
151,2017-09-09,R,0.1542965080545829
152,2017-09-10,D,0.20209874706810976
153,2017-09-10,R,0.11052080627458113
154,2017-09-11,D,0.13055607395425278
155,2017-09-11,R,0.10152756208760035
156,2017-09-12,D,0.14359217140303865
157,2017-09-12,R,0.17280270082121355
158,2017-09-13,D,0.14145972814551602
159,2017-09-13,R,0.15781613049499876
160,2017-09-14,D,0.12693317261629253
161,2017-09-14,R,0.15826296067361623
162,2017-09-15,D,0.1339420003372822
163,2017-09-15,R,0.16258865909560366
164,2017-09-16,D,0.1763526638159665
165,2017-09-16,R,0.19415679749472123
166,2017-09-17,D,0.1422298537909524
167,2017-09-17,R,0.23467900117490284
168,2017-09-18,D,0.14004822342925688
169,2017-09-18,R,0.28025922383012186
170,2017-09-19,D,0.09603909573471262
171,2017-09-19,R,0.15951868549002307
172,2017-09-20,D,0.08738873608084258
173,2017-09-20,R,0.19174272506167664
174,2017-09-21,D,0.11547150277121859
175,2017-09-21,R,0.2286605427281887
176,2017-09-22,D,0.11850642152840835
177,2017-09-22,R,0.20282425462891102
178,2017-09-23,D,0.14718510752364916
179,2017-09-23,R,0.2238161364162047
180,2017-09-24,D,0.11596274384458277
181,2017-09-24,R,0.17000410168218386
182,2017-09-25,D,0.10494619045963058
183,2017-09-25,R,0.1581589085517657
184,2017-09-26,D,0.1210292415767901
185,2017-09-26,R,0.07133110076506302
186,2017-09-27,D,0.14982377832012114
187,2017-09-27,R,0.18279209757294174
188,2017-09-28,D,0.13558262681455358
189,2017-09-28,R,0.20097969459994786
190,2017-09-29,D,0.15433683922303204
191,2017-09-29,R,0.22367205605841955
192,2017-09-30,D,0.11844770330621025
193,2017-09-30,R,0.1880124767748625
194,2017-10-01,D,0.11523254436643952
195,2017-10-01,R,0.19242340220758983
196,2017-10-02,D,0.03459919196306
197,2017-10-02,R,-0.01505896792691979
198,2017-10-03,D,0.10209512732768761
199,2017-10-03,R,0.14557909377762718
200,2017-10-04,D,0.1492548289916711
201,2017-10-04,R,0.2951091800356506
